total_cr,month,years,days,earliest_date
34.37997,January,2022,1,01/01/22 0:00
35.90909,January,2022,2,01/02/22 0:00
204.0706,January,2022,3,01/03/22 0:00
481.7542,January,2022,4,01/04/22 0:00
518.1775,January,2022,5,01/05/22 0:00
84.33146,January,2022,6,01/06/22 0:00
72.44603,January,2022,7,01/07/22 0:00
44.82071,January,2022,8,01/08/22 0:00
43.88544,January,2022,9,01/09/22 0:00
63.63496,January,2022,10,01/10/22 0:00
41.81896,January,2022,11,01/11/22 0:00
42.14126,January,2022,12,01/12/22 0:00
49.82516,January,2022,13,01/13/22 0:00
39.30892,January,2022,14,01/14/22 0:00
34.98093,January,2022,15,01/15/22 0:00
33.58812,January,2022,16,01/16/22 0:00
90.94023,January,2022,17,01/17/22 0:00
72.84958,January,2022,18,01/18/22 0:00
71.4725,January,2022,19,01/19/22 0:00
62.81347,January,2022,20,01/20/22 0:00
75.27784,January,2022,21,01/21/22 0:00
41.90461,January,2022,22,01/22/22 0:00
41.19227,January,2022,23,01/23/22 0:00
95.68678,January,2022,24,01/24/22 0:00
41.54627,January,2022,25,01/25/22 0:00
57.8582,January,2022,26,01/26/22 0:00
44.93672,January,2022,27,01/27/22 0:00
44.43089,January,2022,28,01/28/22 0:00
38.86205,January,2022,29,01/29/22 0:00
35.39122,January,2022,30,01/30/22 0:00
54.00848,January,2022,31,01/31/22 0:00
54.71611,February,2022,1,02/01/22 0:00
62.61202,February,2022,2,02/02/22 0:00
58.12517,February,2022,3,02/03/22 0:00
53.9654,February,2022,4,02/04/22 0:00
41.76331,February,2022,5,02/05/22 0:00
43.34002,February,2022,6,02/06/22 0:00
204.8217,February,2022,7,02/07/22 0:00
205.535,February,2022,8,02/08/22 0:00
93.42593,February,2022,9,02/09/22 0:00
95.19522,February,2022,10,02/10/22 0:00
104.83933,February,2022,11,02/11/22 0:00
76.64498,February,2022,12,02/12/22 0:00
53.40025,February,2022,13,02/13/22 0:00
56.62074,February,2022,14,02/14/22 0:00
58.71771,February,2022,15,02/15/22 0:00
53.35841,February,2022,16,02/16/22 0:00
55.00893,February,2022,17,02/17/22 0:00
54.77081,February,2022,18,02/18/22 0:00
40.03597,February,2022,19,02/19/22 0:00
52.93124,February,2022,20,02/20/22 0:00
103.95145,February,2022,21,02/21/22 0:00
93.93072,February,2022,22,02/22/22 0:00
74.73988,February,2022,23,02/23/22 0:00
81.76809,February,2022,24,02/24/22 0:00
65.55135,February,2022,25,02/25/22 0:00
44.43858,February,2022,26,02/26/22 0:00
44.11267,February,2022,27,02/27/22 0:00
67.38382,February,2022,28,02/28/22 0:00
49.48846,March,2022,1,03/01/22 0:00
56.30747,March,2022,2,03/02/22 0:00
54.16898,March,2022,3,03/03/22 0:00
62.07715,March,2022,4,03/04/22 0:00
41.0771,March,2022,5,03/05/22 0:00
61.85502,March,2022,6,03/06/22 0:00
89.68501,March,2022,7,03/07/22 0:00
78.61682,March,2022,8,03/08/22 0:00
72.65532,March,2022,9,03/09/22 0:00
91.91446,March,2022,10,03/10/22 0:00
70.09527,March,2022,11,03/11/22 0:00
44.22527,March,2022,12,03/12/22 0:00
60.43314,March,2022,13,03/13/22 0:00
54.33399,March,2022,14,03/14/22 0:00
50.81861,March,2022,15,03/15/22 0:00
53.95806,March,2022,16,03/16/22 0:00
53.0236,March,2022,17,03/17/22 0:00
43.80694,March,2022,18,03/18/22 0:00
40.69661,March,2022,19,03/19/22 0:00
39.88563,March,2022,20,03/20/22 0:00
91.44261,March,2022,21,03/21/22 0:00
80.74354,March,2022,22,03/22/22 0:00
59.06756,March,2022,23,03/23/22 0:00
73.88795,March,2022,24,03/24/22 0:00
58.56911,March,2022,25,03/25/22 0:00
66.33273,March,2022,26,03/26/22 0:00
62.46997,March,2022,27,03/27/22 0:00
62.00379,March,2022,28,03/28/22 0:00
62.53992,March,2022,29,03/29/22 0:00
63.18637,March,2022,30,03/30/22 0:00
51.94783,March,2022,31,03/31/22 0:00
53.66358,April,2022,1,04/01/22 0:00
48.73481,April,2022,2,04/02/22 0:00
46.15175,April,2022,3,04/03/22 0:00
60.93573,April,2022,4,04/04/22 0:00
61.83261,April,2022,5,04/05/22 0:00
66.02195,April,2022,6,04/06/22 0:00
71.30728,April,2022,7,04/07/22 0:00
69.44934,April,2022,8,04/08/22 0:00
46.89032,April,2022,9,04/09/22 0:00
55.94129,April,2022,10,04/10/22 0:00
63.58671,April,2022,11,04/11/22 0:00
55.37422,April,2022,12,04/12/22 0:00
68.06038,April,2022,13,04/13/22 0:00
40.01136,April,2022,14,04/14/22 0:00
26.56554,April,2022,15,04/15/22 0:00
27.80494,April,2022,16,04/16/22 0:00
36.20473,April,2022,17,04/17/22 0:00
79.48307,April,2022,18,04/18/22 0:00
63.15198,April,2022,19,04/19/22 0:00
63.14157,April,2022,20,04/20/22 0:00
51.10078,April,2022,21,04/21/22 0:00
51.99089,April,2022,22,04/22/22 0:00
38.10336,April,2022,23,04/23/22 0:00
59.19574,April,2022,24,04/24/22 0:00
92.57297,April,2022,25,04/25/22 0:00
55.19821,April,2022,26,04/26/22 0:00
100.89049,April,2022,27,04/27/22 0:00
92.31369,April,2022,28,04/28/22 0:00
83.96828,April,2022,29,04/29/22 0:00
77.70345,April,2022,30,04/30/22 0:00
77.87352,May,2022,1,05/01/22 0:00
70.52221,May,2022,2,05/02/22 0:00
41.19045,May,2022,3,05/03/22 0:00
41.36584,May,2022,4,05/04/22 0:00
46.60109,May,2022,5,05/05/22 0:00
44.52579,May,2022,6,05/06/22 0:00
39.59057,May,2022,7,05/07/22 0:00
39.40839,May,2022,8,05/08/22 0:00
92.22967,May,2022,9,05/09/22 0:00
58.69535,May,2022,10,05/10/22 0:00
46.69153,May,2022,11,05/11/22 0:00
53.90878,May,2022,12,05/12/22 0:00
53.28237,May,2022,13,05/13/22 0:00
38.69931,May,2022,14,05/14/22 0:00
38.03527,May,2022,15,05/15/22 0:00
65.75598,May,2022,16,05/16/22 0:00
44.5364,May,2022,17,05/17/22 0:00
45.42609,May,2022,18,05/18/22 0:00
42.31002,May,2022,19,05/19/22 0:00
71.61338,May,2022,20,05/20/22 0:00
37.19671,May,2022,21,05/21/22 0:00
37.75752,May,2022,22,05/22/22 0:00
49.24468,May,2022,23,05/23/22 0:00
47.79898,May,2022,24,05/24/22 0:00
49.2622,May,2022,25,05/25/22 0:00
46.27036,May,2022,26,05/26/22 0:00
42.63428,May,2022,27,05/27/22 0:00
37.77062,May,2022,28,05/28/22 0:00
58.93814,May,2022,29,05/29/22 0:00
39.11901,May,2022,30,05/30/22 0:00
41.50536,May,2022,31,05/31/22 0:00
46.47455,June,2022,1,06/01/22 0:00
39.80597,June,2022,2,06/02/22 0:00
56.88632,June,2022,3,06/03/22 0:00
36.07606,June,2022,4,06/04/22 0:00
37.03705,June,2022,5,06/05/22 0:00
91.46113,June,2022,6,06/06/22 0:00
90.78665,June,2022,7,06/07/22 0:00
61.30312,June,2022,8,06/08/22 0:00
56.78323,June,2022,9,06/09/22 0:00
76.19661,June,2022,10,06/10/22 0:00
60.88334,June,2022,11,06/11/22 0:00
59.57375,June,2022,12,06/12/22 0:00
86.09555,June,2022,13,06/13/22 0:00
67.81646,June,2022,14,06/14/22 0:00
70.31058,June,2022,15,06/15/22 0:00
67.97097,June,2022,16,06/16/22 0:00
69.52313,June,2022,17,06/17/22 0:00
61.68165,June,2022,18,06/18/22 0:00
62.22655,June,2022,19,06/19/22 0:00
88.91811,June,2022,20,06/20/22 0:00
58.11533,June,2022,21,06/21/22 0:00
56.95713,June,2022,22,06/22/22 0:00
50.77387,June,2022,23,06/23/22 0:00
65.80334,June,2022,24,06/24/22 0:00
61.19757,June,2022,25,06/25/22 0:00
62.95693,June,2022,26,06/26/22 0:00
130.3229,June,2022,27,06/27/22 0:00
162.4755,June,2022,28,06/28/22 0:00
86.41604,June,2022,29,06/29/22 0:00
99.64378,June,2022,30,06/30/22 0:00
102.10529,July,2022,1,07/01/22 0:00
95.19252,July,2022,2,07/02/22 0:00
89.07614,July,2022,3,07/03/22 0:00
111.766,July,2022,4,07/04/22 0:00
106.13662,July,2022,5,07/05/22 0:00
96.95409,July,2022,6,07/06/22 0:00
80.98737,July,2022,7,07/07/22 0:00
84.32333,July,2022,8,07/08/22 0:00
62.84458,July,2022,9,07/09/22 0:00
63.77897,July,2022,10,07/10/22 0:00
96.30809,July,2022,11,07/11/22 0:00
91.99102,July,2022,12,07/12/22 0:00
102.11573,July,2022,13,07/13/22 0:00
95.4886,July,2022,14,07/14/22 0:00
90.73443,July,2022,15,07/15/22 0:00
63.52503,July,2022,16,07/16/22 0:00
64.42863,July,2022,17,07/17/22 0:00
108.42889,July,2022,18,07/18/22 0:00
92.3833,July,2022,19,07/19/22 0:00
93.38458,July,2022,20,07/20/22 0:00
79.59381,July,2022,21,07/21/22 0:00
77.09498,July,2022,22,07/22/22 0:00
63.29197,July,2022,23,07/23/22 0:00
71.67108,July,2022,24,07/24/22 0:00
67.63689,July,2022,25,07/25/22 0:00
51.17733,July,2022,26,07/26/22 0:00
52.77213,July,2022,27,07/27/22 0:00
52.18937,July,2022,28,07/28/22 0:00
44.25192,July,2022,29,07/29/22 0:00
36.83037,July,2022,30,07/30/22 0:00
38.30893,July,2022,31,07/31/22 0:00
48.9266,August,2022,1,08/01/22 0:00
57.69427,August,2022,2,08/02/22 0:00
53.94666,August,2022,3,08/03/22 0:00
44.57486,August,2022,4,08/04/22 0:00
53.80006,August,2022,5,08/05/22 0:00
47.8856,August,2022,6,08/06/22 0:00
47.99036,August,2022,7,08/07/22 0:00
57.94737,August,2022,8,08/08/22 0:00
58.85093,August,2022,9,08/09/22 0:00
58.08537,August,2022,10,08/10/22 0:00
66.02805,August,2022,11,08/11/22 0:00
59.20246,August,2022,12,08/12/22 0:00
40.19205,August,2022,13,08/13/22 0:00
47.94819,August,2022,14,08/14/22 0:00
63.83304,August,2022,15,08/15/22 0:00
55.66778,August,2022,16,08/16/22 0:00
53.00214,August,2022,17,08/17/22 0:00
72.08127,August,2022,18,08/18/22 0:00
68.88726,August,2022,19,08/19/22 0:00
62.04594,August,2022,20,08/20/22 0:00
60.3235,August,2022,21,08/21/22 0:00
95.7913,August,2022,22,08/22/22 0:00
63.92335,August,2022,23,08/23/22 0:00
67.43847,August,2022,24,08/24/22 0:00
71.36849,August,2022,25,08/25/22 0:00
69.32501,August,2022,26,08/26/22 0:00
61.51077,August,2022,27,08/27/22 0:00
69.32824,August,2022,28,08/28/22 0:00
87.4532,August,2022,29,08/29/22 0:00
56.50678,August,2022,30,08/30/22 0:00
47.90534,August,2022,31,08/31/22 0:00
48.23998,September,2022,1,09/01/22 0:00
48.74137,September,2022,2,09/02/22 0:00
43.9074,September,2022,3,09/03/22 0:00
40.15603,September,2022,4,09/04/22 0:00
63.26821,September,2022,5,09/05/22 0:00
79.25461,September,2022,6,09/06/22 0:00
55.83295,September,2022,7,09/07/22 0:00
61.50039,September,2022,8,09/08/22 0:00
50.2036,September,2022,9,09/09/22 0:00
35.77687,September,2022,10,09/10/22 0:00
35.56102,September,2022,11,09/11/22 0:00
48.94489,September,2022,12,09/12/22 0:00
62.78785,September,2022,13,09/13/22 0:00
41.84751,September,2022,14,09/14/22 0:00
45.77929,September,2022,15,09/15/22 0:00
44.23804,September,2022,16,09/16/22 0:00
37.85073,September,2022,17,09/17/22 0:00
34.95052,September,2022,18,09/18/22 0:00
61.77974,September,2022,19,09/19/22 0:00
63.69724,September,2022,20,09/20/22 0:00
94.85392,September,2022,21,09/21/22 0:00
96.09014,September,2022,22,09/22/22 0:00
50.57124,September,2022,23,09/23/22 0:00
36.8317,September,2022,24,09/24/22 0:00
37.70956,September,2022,25,09/25/22 0:00
77.04551,September,2022,26,09/26/22 0:00
43.36862,September,2022,27,09/27/22 0:00
42.61298,September,2022,28,09/28/22 0:00
47.27722,September,2022,29,09/29/22 0:00
46.39166,September,2022,30,09/30/22 0:00
36.08219,October,2022,1,10/01/22 0:00
35.17733,October,2022,2,10/02/22 0:00
47.50825,October,2022,3,10/03/22 0:00
44.8559,October,2022,4,10/04/22 0:00
41.01211,October,2022,5,10/05/22 0:00
55.68394,October,2022,6,10/06/22 0:00
66.87971,October,2022,7,10/07/22 0:00
34.90189,October,2022,8,10/08/22 0:00
37.56074,October,2022,9,10/09/22 0:00
56.71593,October,2022,10,10/10/22 0:00
65.59668,October,2022,11,10/11/22 0:00
59.11452,October,2022,12,10/12/22 0:00
62.70258,October,2022,13,10/13/22 0:00
53.98526,October,2022,14,10/14/22 0:00
40.94225,October,2022,15,10/15/22 0:00
38.62906,October,2022,16,10/16/22 0:00
82.8886,October,2022,17,10/17/22 0:00
59.86161,October,2022,18,10/18/22 0:00
66.40269,October,2022,19,10/19/22 0:00
70.2241,October,2022,20,10/20/22 0:00
64.41861,October,2022,21,10/21/22 0:00
63.15572,October,2022,22,10/22/22 0:00
35.23475,October,2022,23,10/23/22 0:00
42.67265,October,2022,24,10/24/22 0:00
39.19582,October,2022,25,10/25/22 0:00
39.06442,October,2022,26,10/26/22 0:00
47.3888,October,2022,27,10/27/22 0:00
44.8776,October,2022,28,10/28/22 0:00
34.90005,October,2022,29,10/29/22 0:00
34.45733,October,2022,30,10/30/22 0:00
37.3759,October,2022,31,10/31/22 0:00
45.97035,November,2022,1,11/01/22 0:00
44.25621,November,2022,2,11/02/22 0:00
49.88325,November,2022,3,11/03/22 0:00
43.41274,November,2022,4,11/04/22 0:00
35.7605,November,2022,5,11/05/22 0:00
36.20795,November,2022,6,11/06/22 0:00
52.24291,November,2022,7,11/07/22 0:00
58.71586,November,2022,8,11/08/22 0:00
71.63051,November,2022,9,11/09/22 0:00
57.76585,November,2022,10,11/10/22 0:00
53.19031,November,2022,11,11/11/22 0:00
55.92121,November,2022,12,11/12/22 0:00
44.1359,November,2022,13,11/13/22 0:00
62.26596,November,2022,14,11/14/22 0:00
44.75617,November,2022,15,11/15/22 0:00
15.549043,November,2022,16,11/16/22 0:00
84.33146,November,2022,17,11/17/22 0:00
72.44603,November,2022,18,11/18/22 0:00
44.82071,November,2022,19,11/19/22 0:00
43.88544,November,2022,20,11/20/22 0:00
63.63496,November,2022,21,11/21/22 0:00
41.81896,November,2022,22,11/22/22 0:00
42.14126,November,2022,23,11/23/22 0:00
